1,Track day session 1 AM, 2026-09-16T09:00:00+02:00, 2026-09-16T13:00:00+02:00
1,Track day session 1 PM, 2026-09-16T14:00:00+02:00, 2026-09-16T18:00:00+02:00
0,Track Walk Opportunity, 2026-09-16T18:15:00+02:00, 2026-09-16T19:45:00+02:00
1,Track day session 2 AM, 2026-09-17T09:00:00+02:00, 2026-09-17T13:00:00+02:00
1,Track day session 2 PM, 2026-09-17T14:00:00+02:00, 2026-09-17T18:00:00+02:00
1,Track Walk Opportunity, 2026-09-17T19:00:00+02:00, 2026-09-17T21:00:00+02:00
1,Free Practice, 2026-08-18T12:15:00+02:00, 2026-08-18T14:15:00+02:00
0,Return data card scrutineering, 2026-08-18T14:15:00+02:00, 2026-08-18T14:30:00+02:00
1,Qualifying 1 - GT3, 2026-08-18T17:15:00+02:00, 2026-08-18T17:30:00+02:00
1,Qualifying 2 - GT3, 2026-08-18T17:35:00+02:00, 2026-08-18T17:50:00+02:00
1,Qualifying 3 - GT3, 2026-08-18T17:55:00+02:00, 2026-08-18T18:10:00+02:00
0,Return data card scrutineering, 2026-08-18T18:10:00+02:00, 2026-08-18T18:25:00+02:00
1,Night Practice, 2026-08-18T20:20:00+02:00, 2026-08-18T21:50:00+02:00
0,Start Grid Race, 2026-08-19T10:45:00+02:00, 2026-08-19T12:00:00+02:00
1,Race part 1, 2026-08-19T12:00:00+02:00, 2026-08-20T12:00:00+02:00
